,Artist,Total Followers
581,Duran Duran,1515250
582,A Great Big World,392872
583,Stereophonics,952676
584,Nightwish,1276340
585,Passenger,2502442
586,James Taylor,1222732
587,No Doubt,1543381
588,Cliff Richard & The Drifters,6793
589,First Aid Kit,910593
590,Creedence Clearwater Revival,3404498
591,Céline Dion,3598013
592,A$AP Rocky,6792191
593,Paolo Conte,129542
594,Otis Redding,1506772
595,Radiohead,5052115
596,Black Eyed Peas,4202860
597,Labi Siffre,41620
598,The Amazing Stroopwafels,6002
599,Rufus Wainwright,218966
600,Pet Shop Boys,961143
601,Peter Schilling,37567
602,The Rolling Stones,8475148
603,Mr. Mister,274795
604,KALEO,932682
605,Chi Coltrane,2507
606,The Smashing Pumpkins,2680234
607,The Weeknd,20071685
608,Richard Harris,3146
609,Reinhard Mey,86219
610,The Common Linnets,49147
611,Ralph McTell,16451
612,Pink Floyd,11951378
613,Joe Cocker,1114448
614,Ten Years After,288486
615,Macklemore & Ryan Lewis,2460344
616,Tame Impala,3594487
617,The Monkees,627446
618,ODESZA,1108536
619,Volbeat,1529945
620,Liesbeth List,12193
621,Jocus,655
622,Within Temptation,764345
623,Alderliefste met Ramses Shaffy en Liesbeth List,735
624,Claudia De Breij,38188
625,Etta James,985593
626,Bruce Springsteen,3079845
627,Pixel Terror,21303
628,The Pogues,304231
629,Twenty One Pilots,16716062
630,Sammy Davis Jr.,295813
631,The Jackson 5,936054
632,Meat Loaf,508510
633,Carly Simon,561739
634,Carpenters,1313086
635,Scott McKenzie,26944
636,The Alan Parsons Project,738067
637,Evanescence,2610598
638,Kids TV 123,971
639,Frank Zappa,517767
640,Van Halen,3101551
641,Tears For Fears,1543006
642,The Bangles,662385
643,Claw Boys Claw,5671
644,Enya,1267891
645,Talking Heads,1228870
646,Supertramp,1682735
647,"Crosby, Stills & Nash",959942
648,Snowy White,32490
649,Wim Sonneveld,19006
650,John Legend,4942611
651,Living Colour,209302
652,Backstreet Boys,3132060
653,Bronco,1189226
654,Duncan Laurence,74342
655,Tom Odell,1458713
656,The Doobie Brothers,1178055
657,Maren Morris,464561
658,Elvis Presley,4126195
659,Lil Uzi Vert,8487434
660,The Kinks,1488649
661,Green Day,10389724
662,Elton John,4995064
663,Boney M.,658651
664,Gorillaz,5402898
665,Neet Oét Lottum,1578
666,"Emerson, Lake & Palmer",556442
667,Bon Jovi,7675769
668,Don Henley,763255
669,Qveen Herby,143472
670,Saybia,35106
671,Lana Del Rey,10285057
672,Dan Hartman,39645
673,Bill Medley,18297
674,Fall Out Boy,7749658
675,Lana Del Rey,10285057
676,Mariah Carey,5520082
677,Peter Gabriel,925223
678,Duck Sauce,82918
679,U2,6644798
680,Gary Jules,60901
681,De Poema's,15199
682,Céline Dion,3598013
683,The Byrds,566462
684,ABBA,4032738
685,Dire Straits,3439065
686,Maggie MacNeal,2707
687,Acda en de Munnik,79589
688,Editors,520705
689,Bee Gees,3178226
690,The Stranglers,300608
691,Curtis Mayfield,666451
692,Chris Rea,405793
693,Mike & The Mechanics,326051
694,WALK THE MOON,1551583
695,Laura Pausini,1420184
696,Tame Impala,3594487
697,Agnes Obel,529843
698,Lynyrd Skynyrd,2699300
699,Project Pat,375499
700,John Lennon,3343754
701,Luis Fonsi,8342144
